ds,yhat
2013-01-01,179968374.5460911
2013-02-01,177230079.3002808
2013-03-01,204845555.52661407
2013-04-01,192198176.90455836
2013-05-01,194401396.1956351
2013-06-01,183622009.7849722
2013-07-01,197926178.6726045
2013-08-01,191645416.92409414
2013-09-01,167253067.38669446
2013-10-01,175206187.08934793
2013-11-01,185256827.115763
2013-12-01,225125785.8583269
2014-01-01,187772039.7886735
2014-02-01,174842837.23917922
2014-03-01,198154888.85623232
2014-04-01,189783831.51895508
2014-05-01,187159840.1416652
2014-06-01,189775577.78146654
2014-07-01,195167320.4568832
2014-08-01,170098063.56116393
2014-09-01,175268363.91443256
2014-10-01,176666105.2251605
2014-11-01,184250810.9029595
2014-12-01,208763886.72231764
2015-01-01,199033929.24348214
2015-02-01,176715056.84082836
2015-03-01,196831075.95124796
2015-04-01,193903307.75686586
2015-05-01,187635841.6537932
2015-06-01,204659991.7504484
2015-07-01,201903716.99722296
2015-07-31,89181589.41618508
2015-08-31,245095527.62696353
2015-09-30,208178941.42776287
2015-10-31,196155977.73655427
2015-11-30,144441125.82203808
2015-12-31,268024772.0653343
